symbol,year,month,day,price
XRP,2017,10,24,0.2047
XRP,2017,10,25,0.2046
XRP,2017,10,26,0.2027
XRP,2017,10,27,0.2008
XRP,2017,10,28,0.2053
XRP,2017,10,29,0.2044
XRP,2017,10,30,0.2034
XRP,2017,10,31,0.2006
XRP,2017,11,1,0.2065
XRP,2017,11,2,0.2263
XRP,2017,11,3,0.2061
XRP,2017,11,4,0.2033
XRP,2017,11,5,0.2067
XRP,2017,11,6,0.2065
XRP,2017,11,7,0.2235
XRP,2017,11,8,0.2218
XRP,2017,11,9,0.2185
XRP,2017,11,10,0.2147
XRP,2017,11,11,0.2094
XRP,2017,11,12,0.2001
XRP,2017,11,13,0.2103
XRP,2017,11,14,0.2101
XRP,2017,11,15,0.2809
XRP,2017,11,16,0.2376
XRP,2017,11,17,0.2293
XRP,2017,11,18,0.237
XRP,2017,11,19,0.2462
XRP,2017,11,20,0.2444
XRP,2017,11,21,0.2417
XRP,2017,11,22,0.2503
XRP,2017,11,23,0.2443
XRP,2017,11,24,0.2531
XRP,2017,11,25,0.2492
XRP,2017,11,26,0.2497
XRP,2017,11,27,0.2806
XRP,2017,11,28,0.2797
XRP,2017,11,29,0.2468
XRP,2017,11,30,0.2511
XRP,2017,12,1,0.2494
XRP,2017,12,2,0.2586
XRP,2017,12,3,0.2486
XRP,2017,12,4,0.2469
XRP,2017,12,5,0.234
XRP,2017,12,6,0.2197
XRP,2017,12,7,0.253
XRP,2017,12,8,0.2446
XRP,2017,12,9,0.2366
XRP,2017,12,10,0.247
XRP,2017,12,11,0.4369
XRP,2017,12,12,0.5006
XRP,2017,12,13,0.8809
XRP,2017,12,14,0.8523
XRP,2017,12,15,0.8122
XRP,2017,12,16,0.7524
XRP,2017,12,17,0.7912
XRP,2017,12,18,0.8402
XRP,2017,12,19,0.7426
XRP,2017,12,20,1.13
XRP,2017,12,21,1.24
XRP,2017,12,22,1.07
XRP,2017,12,23,1.01
XRP,2017,12,24,1.02
XRP,2017,12,25,1.09
XRP,2017,12,26,1.28
XRP,2017,12,27,1.31
XRP,2017,12,28,1.97
XRP,2017,12,29,2.44
XRP,2017,12,30,2.09
XRP,2017,12,31,2.09
XRP,2018,1,1,2.21
XRP,2018,1,2,2.85
XRP,2018,1,3,3.29
XRP,2018,1,4,3.05
XRP,2018,1,5,2.85
XRP,2018,1,6,2.82
XRP,2018,1,7,2.78
XRP,2018,1,8,2.5
XRP,2018,1,9,2.13
XRP,2018,1,10,2.24
XRP,2018,1,11,2.16
XRP,2018,1,12,2.1
XRP,2018,1,13,2
XRP,2018,1,14,1.88
XRP,2018,1,15,1.68
XRP,2018,1,16,1.38
XRP,2018,1,17,1.73
XRP,2018,1,18,1.68
XRP,2018,1,19,1.63
XRP,2018,1,20,1.57
XRP,2018,1,21,1.42
XRP,2018,1,22,1.44
XRP,2018,1,23,1.42
XRP,2018,1,24,1.38
XRP,2018,1,25,1.32
XRP,2018,1,26,1.24
XRP,2018,1,27,1.39
XRP,2018,1,28,1.37
XRP,2018,1,29,1.27
XRP,2018,1,30,1.15
XRP,2018,1,31,1.14
XRP,2018,2,1,0.961
XRP,2018,2,2,1.02
XRP,2018,2,3,0.9678
XRP,2018,2,4,0.835
XRP,2018,2,5,0.7785
XRP,2018,2,6,0.8132
XRP,2018,2,7,0.7887
XRP,2018,2,8,0.928
XRP,2018,2,9,1.23
XRP,2018,2,10,1.04
XRP,2018,2,11,1.08
XRP,2018,2,12,1.05
XRP,2018,2,13,1.15
XRP,2018,2,14,1.14
XRP,2018,2,15,1.12
XRP,2018,2,16,1.2
XRP,2018,2,17,1.18
XRP,2018,2,18,1.13
XRP,2018,2,19,1.13
XRP,2018,2,20,1.04
XRP,2018,2,21,0.9999
XRP,2018,2,22,0.9829
XRP,2018,2,23,0.967
XRP,2018,2,24,0.9242
XRP,2018,2,25,0.9433
XRP,2018,2,26,0.9579
XRP,2018,2,27,0.9467
XRP,2018,2,28,0.9481
